Participant ID,Video file,Gloss,ASL-LEX Code
P1,14154575310664197-NICE.mp4,NICE,G_03_059
P1,16994877911771145-WE.mp4,WE,G_03_019
P1,6508465822424006-THANK YOU.mp4,THANKYOU,H_02_053
P40,18199086230023087-NICE.mp4,NICE,G_03_059
P40,5346957049353451-WE.mp4,WE,G_03_019
P40,7535449770372906-THANK YOU.mp4,THANKYOU,H_02_053
P40,8848744369087989-NEED.mp4,NEED,C_02_034
P40,4614534315577101-NOW.mp4,NOW,C_03_062
P40,051465824178710706-TELL.mp4,TELL,C_02_013
P40,7815897175027569-YESTERDAY.mp4,YESTERDAY,D_01_024
P40,5082858473744953-NO.mp4,NO,C_03_041
P40,33093247095464684-GIRL.mp4,GIRL,C_03_073
P40,16884356585373195-EASY.mp4,EASY,D_01_070
P40,3380520143388104-SCHOOL.mp4,SCHOOL,C_03_089
P40,09480001149764816-MEET.mp4,MEET,D_02_018
P40,3845231217942484-FRIEND.mp4,FRIEND,D_03_010
P40,27759670594914465-CAR.mp4,CAR,D_02_043
P40,9404479880375034-BYE.mp4,BYE,E_01_058
P40,2111386793579384-BUSY.mp4,BUSY,E_02_040
P40,48852938778695965-LIKE.mp4,LIKE,F_03_063
P40,2595760307657029-THEY.mp4,THEY1,F_02_103
P40,574135060517232-EVERYTHING.mp4,EVERYTHING,F_03_084
P43,3597949009905055-NICE.mp4,NICE,G_03_059
P43,193766215011427-WE.mp4,WE,G_03_019
P43,014439537236845323-THANK YOU.mp4,THANKYOU,H_02_053
P43,2957896307414234-NEED.mp4,NEED,C_02_034
P43,945060415448846-NOW.mp4,NOW,C_03_062
P40,7717057217254395-THEY.mp4,THEY1,F_02_103
P43,682290148919185-TELL.mp4,TELL,C_02_013
P43,24193734646812537-YESTERDAY.mp4,YESTERDAY,D_01_024
P43,5372668319999747-NO.mp4,NO,C_03_041
P40,5628156573374106-TODAY.mp4,TODAY,E_02_006
P43,7064746790954382-GIRL.mp4,GIRL,C_03_073
P43,2873737968249803-EASY.mp4,EASY,D_01_070
P43,09891286692753609-SCHOOL.mp4,SCHOOL,C_03_089
P43,41405801734964043-MEET.mp4,MEET,D_02_018
P40,8582421156380451-STUDY.mp4,STUDY,G_01_090
P40,24627319624614907-CITY 2.mp4,CITY2,K_02_076
P40,5363852654946244-GO.mp4,GO,C_03_056
P40,1977023637643942-ALL.mp4,ALL,C_03_088
P40,23481071177880364-FINE.mp4,FINE1,C_01_043
P40,7666802297995068-HOW.mp4,HOW1,D_02_082
P40,01440664777989098-BABY 2.mp4,BABY2,K_01_042
P40,09459364825922179-NIGHT.mp4,NIGHT1,A_01_003
P40,33973508233400795-HEAR 2.mp4,HEAR2,J_02_006
P40,9348982750659371-DOCTOR 2.mp4,DOCTOR2,K_03_015
P40,23678765057172724-FAST.mp4,FAST,C_03_016
P40,16617331553945736-STOP.mp4,STOP,D_01_010
P40,37048216582837923-MONEY 2.mp4,MONEY2,K_01_104
P40,22807949601628086-REMEMBER.mp4,REMEMBER2,C_02_014
P40,427530694463526-SEE.mp4,SEE,C_02_030
P40,9283252416206405-NEVER.mp4,NEVER,C_02_079
P40,5942910381149817-THINK.mp4,THINK,C_03_053
P40,5278443932118966-SMALL.mp4,SMALL,D_01_030
P40,011439809438488657-WHAT 2.mp4,WHAT1,D_02_094
P40,48930015457823384-FEW.mp4,FEW,C_02_067
P40,9968445071273833-COUNTRY.mp4,COUNTRY,C_03_058
P40,8761272343943907-COME.mp4,COME,C_03_074
P40,19978233231036002-WRITE.mp4,WRITE,D_01_051
P40,03614528075010082-BUY.mp4,BUY,D_03_074
P40,1707550229411383-HATE.mp4,HATE,F_02_078
P40,241335509121118-HOT.mp4,HOT,F_02_093
P40,8444466395156511-OK.mp4,OK,F_03_080
P40,6761534511903275-GIVE.mp4,GIVE,F_01_023
P40,515981894493013-TAKE.mp4,TAKE,G_01_093
P40,22231383812312244-TOMORROW.mp4,TOMORROW,F_02_040
P40,1555998439795525-YES.mp4,YES,G_03_074
P40,9985415747245623-ALWAYS.mp4,ALWAYS,J_03_076
P40,7278194454734639-WOMAN 2.mp4,WOMAN2,K_01_101
P40,17063504743468516-DRINK 2.mp4,DRINK2,K_03_092
P43,3115705696578963-FRIEND.mp4,FRIEND,D_03_010
P43,3058482916099612-CAR.mp4,CAR,D_02_043
P43,8852825102646966-BYE.mp4,BYE,E_01_058
P43,8099384194622918-BUSY.mp4,BUSY,E_02_040
P43,2935343968735329-LIKE.mp4,LIKE,F_03_063
P43,26657946023294365-THEY.mp4,THEY1,F_02_103
P43,9556009320612708-EVERYTHING.mp4,EVERYTHING,F_03_084
P43,9566049112694803-THEY.mp4,THEY1,F_02_103
P43,04763398685641884-TODAY.mp4,TODAY,E_02_006
P40,4701606875522637-BOY.mp4,BOY,B_02_090
P40,5230904219364878-SISTER.mp4,SISTER,D_03_050
P40,4311917411154673-HAPPY.mp4,HAPPY,C_03_078
P40,5237431195885818-EAT.mp4,EAT1,B_02_002
P40,8701465924878977-COLD.mp4,COLD,C_02_068
P40,3979542273376353-DIFFERENT.mp4,DIFFERENT,E_03_095
P40,3624106996012926-MOTHER.mp4,MOTHER,B_02_008
P40,6781008345337096-SLOW.mp4,SLOW,B_02_041
P40,13498585088047066-BROTHER.mp4,BROTHER,B_01_065
P40,021113914252494537-PEOPLE.mp4,PEOPLE,C_01_009
P40,1994115335737141-FINISH.mp4,FINISH,B_03_025
P40,33555147348315106-EAT.mp4,EAT1,B_02_002
P40,9265869776877644-FATHER.mp4,FATHER,B_01_077
P40,23627306204455656-FAMILY.mp4,FAMILY,C_01_025
P40,7256673521593155-SORRY.mp4,SORRY,C_01_020
P40,22682052489427296-DAY.mp4,DAY,C_01_044
P40,08524949524247205-HUNGRY.mp4,HUNGRY,C_01_010
P40,8413854167861541-BORED.mp4,BORED1,B_01_017
P40,5199177562877719-GOOD.mp4,GOOD,B_01_052
P40,6433677117622094-LEARN.mp4,LEARN,B_01_042
P40,46577961099474163-MAN.mp4,MAN,C_01_040
P40,16441722629236466-FEEL.mp4,FEEL,C_02_001
P40,4782730717831809-PLEASE.mp4,PLEASE,B_02_007
P40,9574229853297838-WHERE.mp4,WHERE,B_02_035
P40,6741912564576187-FINE.mp4,FINE1,C_01_043
P40,8385294089384643-MORE.mp4,MORE,B_03_032
P40,33588311612630184-HARD.mp4,HARD,C_01_036
P40,603452666892295-TIME.mp4,TIME,B_02_080
P40,9770599529725736-YEAR.mp4,YEAR,B_02_015
P40,10912966695485293-WHICH.mp4,WHICH,B_01_088
P40,17383536861491344-WHO.mp4,WHO,C_01_041
P40,41374941112749775-MAYBE.mp4,MAYBE,B_03_022
P40,45850991964011034-NAME.mp4,NAME,D_01_021
P40,7885296477376487-WHY.mp4,WHY,D_01_067
P40,0022932153577568393-HELLO.mp4,HELLO,D_02_055
P40,5795834263184414-WHEN.mp4,WHEN,C_03_086
P40,8861180879289117-LATER.mp4,LATER,D_01_077
P40,7590157290604365-YOU.mp4,YOU,D_02_065
P40,3076721990283171-WANT 2.mp4,WANT1,E_01_025
P40,0010547472856581308-BIG.mp4,BIG,F_02_054
P40,335915499727792-HE.mp4,HE,F_02_044
P40,864908228939657-NIGHT.mp4,NIGHT1,A_01_003
P40,5416242059836718-STUDENT.mp4,STUDENT,A_02_012
P40,30963812063860874-MONTH.mp4,MONTH,A_01_073
P40,2529267475456003-COMPUTER.mp4,COMPUTER,A_01_054
P40,26739488577485493-BOOK.mp4,BOOK,A_01_027
P14,7872066695539279-STUDY.mp4,STUDY,G_01_090
P14,019573978156297578-CITY 2.mp4,CITY2,K_02_076
P14,2290456408074184-GO.mp4,GO,C_03_056
P14,06327853237943692-ALL.mp4,ALL,C_03_088
P14,7081997886148117-FINE.mp4,FINE1,C_01_043
P14,9117355925466168-HOW.mp4,HOW1,D_02_082
P14,9126495279932256-BABY 2.mp4,BABY2,K_01_042
P40,9606737155753842-FINE.mp4,FINE1,C_01_043
P40,9811460119529283-HOW.mp4,HOW1,D_02_082
P40,1642084105825128-BABY 2.mp4,BABY2,K_01_042
